song,angry_agressive,arousing_awakening,bizarre_weird,calming_soothing,carefree_lighthearted,cheerful_festive,emotional_passionate,exciting_thrilling,happy,laid-back_mellow,light_playful,loving_romantic,pleasant_comfortable,positive_optimistic,powerful_strong,sad,tender_soft,touching_loving
10cc-for_you_and_i,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
2pac-trapped,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
5th_dimension-one_less_bell_to_answer,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
a_tribe_called_quest-bonita_applebum,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aaron_neville-tell_it_like_it_is,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abba-s.o.s.,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
abc-poison_arrow,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ac_dc-dirty_deeds_done_dirt_cheap,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
adam_and_the_ants-prince_charming,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adam_ant-wonderful,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
adverts-gary_gilmores_eyes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aerobic_jonquil-sweat_machine,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
aerosmith-dude_looks_like_a_lady,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
aimee_mann-wise_up,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
air-sexy_boy,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0
al_green-sha-la-la_make_me_happy,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1
alanis_morissette-thank_u,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
alice_cooper-elected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alice_in_chains-no_excuses,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
alicia_keys-fallin,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
allman_brothers_band-melissa,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
altered_images-dont_talk_to_me_about_love,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0
american_music_club-jesus_hands,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
andrews_sisters-boogie_woogie_bugle_boy,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0
ani_difranco-crime_for_crime,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
animals-im_crying,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
anita_baker-caught_up_in_the_rapture,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1
antiguru-peering,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0
antonio_carlos_jobim-wave,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1
anup-life_glides,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
aphex_twin-come_to_daddy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apples_in_stereo-glowworm,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
aretha_franklin-dont_play_that_song,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1
arlo_guthrie-alices_restaurant_massacree,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0
art_tatum-willow_weep_for_me,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0
artemis-don_t_look_back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
arthur_alexander-you_dont_care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arthur_yoria-at_least_you_ve_been_told,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashford_and_simpson-solid,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1
association-windy,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
atomic_opera-watergrave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b.b._king-sweet_little_angel,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
backstreet_boys-as_long_as_you_love_me,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
badly_drawn_boy-all_possibilities,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
band-king_harvest_has_surely_come,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
barbara_leoni-don_t_rain_on_my_parade,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0
barenaked_ladies-its_all_been_done,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barry_manilow-mandy,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1
barry_white-cant_get_enough_of_your_love_babe,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
bauhaus-ziggy_stardust,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
bay_city_rollers-saturday_night,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0
beach_boys-i_get_around,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
beatles-strawberry_fields_forever,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0
beatundercontrol-this_is_beatundercontrol,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
beautiful_south-one_last_love_song,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
beck-where_its_at,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
bee_gees-stayin_alive,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0
belief_systems-skunk_werks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle_and_sebastian-like_dylan_in_the_movies,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ben_folds_five-brick,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1
beth_quist-survival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big_star-in_the_street,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
billie_holiday-god_bless_the_child,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1
billy_bragg-jeane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
billy_joel-we_didnt_start_the_fire,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
birthday_party-mr._clarinet,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
bjrk-army_of_me,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black_crowes-thorn_in_my_pride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black_flag-six_pack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
black_sabbath-black_sabbath,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
blind_faith-had_to_cry_today,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blind_melon-no_rain,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
blondie-rapture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood_sweat_and_tears-sometimes_in_winter,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1
blue_yster_cult-burnin_for_you,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
blur-country_house,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
bo_diddley-you_cant_judge_a_book_by_its_cover,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0
bob_dylan-ill_be_your_baby_tonight,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0
bob_marley_and_the_wailers-three_little_birds,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
bob_seger-turn_the_page,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bobby_brown-my_prerogative,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
bobby_fuller_four-i_fought_the_law,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
bobby_womack-womans_gotta_have_it,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1
bomb_the_bass-bug_powder_dust,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
bon_jovi-livin_on_a_prayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bonnie_tyler-total_eclipse_of_the_heart,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
boo_radleys-wake_up_boo,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
boogie_down_productions-the_bridge_is_over,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
booker_t._and_the_mgs-time_is_tight,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
boston-more_than_a_feeling,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
bots-take_the_power_back,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brad_sucks-overreacting,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
bread-if,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1
breeders-cannonball,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brenton_wood-lovey_dovey_kind_of_love,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1
brian_eno-here_come_the_warm_jets,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
britney_spears-im_a_slave_for_you,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bruce_springsteen-badlands,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
bryan_adams-cuts_like_a_knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buddy_holly-peggy_sue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
buena_vista_social_club-el_cuarto_de_tula,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0
buffalo_springfield-for_what_its_worth,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
buffalo_springfield-mr._soul,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
buggles-video_killed_the_radio_star,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
built_to_spill-i_would_hurt_a_fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
burnshee_thornside-goodbye_on_a_beautiful_day,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
bush-comedown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
busta_rhymes-woo_hah_got_you_all_in_check,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
buzzcocks-everybodys_happy_nowadays,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
byrds-wasnt_born_to_follow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_layne-devil_and_the_woman,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cab_calloway-minnie_the_moocher,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0
"cake-perhaps,_perhaps,_perhaps",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
camper_van_beethoven-take_the_skinheads_bowling,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
canned_heat-on_the_road_again,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
captain_beefheart_and_the_magic_band-safe_as_milk,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
cardigans-lovefool,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0
cargo_cult-garden,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
carl_perkins-matchbox,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
carly_simon-youre_so_vain,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
carole_king-youve_got_a_friend,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1
carpenters-rainy_days_and_mondays,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
cars-good_times_roll,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
cat_power-he_war,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
catherine_wheel-black_metallic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cc_music_factory-gonna_make_you_sweat_everybody_dance_now,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0
chad_and_jeremy-before_and_after,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
chantal_kreviazuk-surrounded,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
charles_mingus-mood_indigo,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
charlie_parker-ornithology,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
charlie_rich-behind_closed_doors,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
cheap_trick-dream_police,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
chemical_brothers-setting_sun,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
cheryl_ann_fulton-marsh_of_rhuddlan,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
chet_baker-these_foolish_things,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1
chi-lites-stoned_out_of_my_mind,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1
chic-le_freak,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
chicago-if_you_leave_me_now,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1
chills-i_love_my_leather_jacket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chris_juergensen-prospects,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
christina_aguilera-genie_in_a_bottle,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
chuck_berry-roll_over_beethoven,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chumbawamba-tubthumping,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
church-under_the_milky_way,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cilla_black-alfie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
clarence_ashley-the_house_carpenter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
clash-lost_in_the_supermarket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coasters-poison_ivy,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
coldplay-clocks,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
contours-do_you_love_me,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0
count_basie-lester_leaps_in,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
counting_crows-speedway,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
cowboy_junkies-postcard_blues,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
cranberries-linger,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1
cream-tales_of_brave_ulysses,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
creedence_clearwater_revival-travelin_band,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
crosby_stills_and_nash-guinnevere,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
crosby_stills_nash_and_young-teach_your_children,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
curandero-aras,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
cure-just_like_heaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curtis_mayfield-move_on_up,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
cyndi_lauper-money_changes_everything,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cypress_hill-lowrider,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
daft_punk-da_funk,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
darkness-i_believe_in_a_thing_called_love,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
dave_matthews_band-ants_marching,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
david_bowie-song_for_bob_dylan,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
de_la_soul-eye_know,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
dead_kennedys-chemical_warfare,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
def_leppard-pour_some_sugar_on_me,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
dennis_brown-tribulation,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
depeche_mode-world_in_my_eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devo-girl_u_want,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
diana_ross_and_the_supremes-where_did_our_love_go,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1
dido-here_with_me,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1
dionne_warwick-walk_on_by,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
dire_straits-money_for_nothing,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
dj_jazzy_jeff_and_the_fresh_prince-summertime,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
dj_markitos-sunset_138_bpm_remix,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django_reinhardt-brazil,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
domased-too_slow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
donovan-catch_the_wind,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
doobie_brothers-china_grove,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
doors-touch_me,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
dr._dre-nuthin_but_a_g_thang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dr_kuch-persuaders_dub,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drevo-our_watcher_show_us_the_way,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
drop_trio-slapjack,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0
duke_ellington_and_his_orchestra-caravan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
duncan_sheik-barely_breathing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duran_duran-come_undone,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0
eagles-tequila_sunrise,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1
earth_wind_and_fire-september,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
eels-cancer_for_the_cure,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
electric_frankenstein-teenage_shutdown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
elliott_smith-baby_britain,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0
elton_john-tiny_dancer,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
elvis_costello-less_than_zero,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
elvis_presley-heartbreak_hotel,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
eminem-my_fault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
emma_s_mini-lost,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
erasure-chains_of_love,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0
eric_clapton-wonderful_tonight,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
etherine-never_leave,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
eurythmics-sweet_dreams,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
evanescence-my_immortal,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1
everly_brothers-take_a_message_to_mary,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1
faith_hill-lets_make_love,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1
faith_no_more-epic,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
falik-bliss,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiona_apple-love_ridden,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1
fleetwood_mac-say_you_love_me,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
flying_burrito_brothers-break_my_mind,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
foo_fighters-big_me,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
four_stones-brilliant_day_eine_kleine_mix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frank_sinatra-fly_me_to_the_moon,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1
frank_zappa-whats_the_ugliest_part_of_your_body,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
franz_ferdinand-come_on_home,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
garbage-hammering_in_my_head,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
gene_clark-the_true_one,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
genesis-cuckoo_cocoon,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
george_harrison-all_things_must_pass,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
germs-lexicon_devil,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gin_blossoms-hey_jealousy,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
glen_bledsoe-p_pop,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn_miller-in_the_mood,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0
gloria_gaynor-i_will_survive,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
go-gos-vacation,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
gram_parsons-1000_wedding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grateful_dead-high_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
grayson_wray-heaven_s_the_place,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
green_day-longview,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
guided_by_voices-kicker_of_elves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guns_n_roses-november_rain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hall_and_oates-private_eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
howlin_wolf-moanin_at_midnight,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
human_response-angels,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hybris-hate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ike_and_tina_turner-river_deep_mountain_high,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
indidginus-dusty_lands,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interpol-stella_was_a_diver_and_she_was_always_down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
introspekt-tbd,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ivilion-d_b_l,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
jackalopes-rotgut,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
jackson_5-abc,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0
jacques_brel-les_vieux,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
jade_leary-going_in,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
