cal_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
nirvana-aneurysm,0.298,0.823,7,-9.793,1,0.0816,7.66e-05,7.53e-05,0.132,0.235,135.596,4
no_doubt-artificial_sweetener,0.567,0.779,10,-4.538,0,0.0443,0.00881,0.0,0.911,0.284,130.945,4
no_doubt-simple_kind_of_life,0.576,0.849,0,-5.199,1,0.0355,0.0678,0.0,0.278,0.482,119.999,4
norah_jones-dont_know_why,0.732,0.198,5,-11.775,1,0.028,0.883,1.1e-05,0.0659,0.618,88.174,4
norine_braun-spanish_banks,0.599,0.4,2,-12.326,1,0.0295,0.532,0.0,0.277,0.428,135.079,4
nova_express-i_m_alive,0.246,0.969,6,-4.394,0,0.174,1.48e-05,0.657,0.111,0.581,194.878,4
oasis-supersonic,0.355,0.893,9,-3.921,1,0.0391,6.64e-05,0.0189,0.233,0.653,104.02,4
ojays-livin_for_the_weekend,0.511,0.764,9,-6.975,0,0.0909,0.116,0.0,0.371,0.673,126.412,4
olivia_tremor_control-i_have_been_floated,0.266,0.43,11,-11.758,0,0.0313,0.155,2.09e-05,0.203,0.226,75.887,4
otis_redding-mr._pitiful,0.806,0.489,0,-12.898,1,0.104,0.0544,2.88e-05,0.0696,0.899,123.753,4
outkast-ms._jackson,0.843,0.805,4,-5.946,0,0.269,0.142,0.0,0.0771,0.615,94.946,4
panacea-dragaicuta,0.388,0.194,9,-7.074,1,0.0336,0.865,0.0912,0.108,0.24,111.145,3
pantera-becoming,0.578,0.896,0,-5.699,1,0.0497,0.00104,0.00513,0.126,0.576,129.843,4
paul_mccartney-ebony_and_ivory,0.567,0.692,4,-7.881,1,0.0379,0.0784,0.0,0.0338,0.708,160.697,4
pearl_jam-yellow_ledbetter,0.504,0.354,4,-11.3,1,0.0339,0.29,4.71e-06,0.157,0.292,140.87,4
pet_shop_boys-being_boring,0.634,0.804,1,-9.552,0,0.0391,0.059,0.289,0.169,0.263,119.775,4
pink_floyd-echoes,0.285,0.322,6,-16.58,0,0.044,0.366,0.651,0.107,0.142,134.042,4
pixies-wave_of_mutilation,0.642,0.355,5,-14.196,1,0.0328,0.094,3.42e-05,0.0865,0.724,180.258,4
pizzle-what_s_wrong_with_my_footm,0.295,0.981,9,-3.491,1,0.203,0.129,0.0,0.0893,0.0333,159.328,4
pj_harvey-dry,0.445,0.456,2,-15.454,1,0.0308,0.000861,0.000905,0.15,0.471,99.871,4
police-every_little_thing_she_does_is_magic,0.558,0.768,2,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,4
portishead-all_mine,0.601,0.656,8,-2.692,0,0.0403,0.11,0.0148,0.103,0.342,60.161,4
pretenders-day_after_day,0.421,0.866,4,-5.459,1,0.0428,0.0212,0.848,0.199,0.618,138.645,4
primus-jerry_was_a_race_car_driver,0.508,0.887,1,-12.377,0,0.0661,0.0099,0.392,0.345,0.724,122.655,4
processor-nibtal_7,0.652,0.989,1,-4.81,1,0.176,0.0633,0.421,0.0942,0.383,139.98,4
propellerheads-take_california,0.749,0.873,0,-5.651,1,0.0571,0.000259,0.807,0.172,0.143,119.833,4
psychedelic_furs-love_my_way,0.637,0.85,0,-5.054,1,0.0351,0.0048,0.000179,0.152,0.52,126.106,4
psychetropic-dead_slow_day,0.354,0.459,6,-15.504,1,0.0394,0.745,0.442,0.078,0.377,133.384,4
queen-we_will_rock_you,0.693,0.497,2,-7.316,1,0.119,0.679,0.0,0.258,0.473,81.308,4
radiohead-karma_police,0.36,0.505,7,-9.129,1,0.026,0.0626,9.22e-05,0.172,0.317,74.807,4
r.e.m.-camera,0.403,0.442,2,-8.868,1,0.0348,0.102,0.00362,0.138,0.262,95.217,4
rage_against_the_machine-maggies_farm,0.412,0.838,9,-1.93,1,0.0427,0.0023,0.00344,0.152,0.483,86.604,4
ramones-i_just_want_to_have_something_to_do,0.556,0.947,9,-3.588,0,0.0392,0.0274,1.34e-05,0.0436,0.411,137.478,4
randy_newman-sail_away,0.341,0.161,5,-12.324,1,0.0326,0.936,0.000488,0.12,0.0961,134.75,4
ray_charles-hit_the_road_jack,0.559,0.631,8,-11.184,0,0.229,0.628,0.0,0.336,0.929,173.172,4
red_hot_chili_peppers-give_it_away,0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,4
replacements-answering_machine,0.229,0.889,4,-6.217,1,0.155,0.95,0.493,0.834,0.596,141.486,3
rick_james-super_freak,0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,4
robert_johnson-sweet_home_chicago,0.691,0.0958,1,-13.9,0,0.143,0.98,1.61e-05,0.0931,0.519,101.574,4
rocket_city_riot-mine_tonite,0.407,0.908,4,-5.538,1,0.0464,1.24e-05,0.00745,0.0832,0.742,99.031,4
rolling_stones-little_by_little,0.482,0.719,9,-8.794,1,0.0558,0.0146,0.13,0.155,0.909,87.743,4
ronettes-walking_in_the_rain,0.5,0.655,10,-8.313,1,0.0308,0.386,0.0,0.0915,0.41,107.75,4
roots_of_rebellion-legend,0.296,0.883,5,-4.213,1,0.093,0.00696,0.0,0.0718,0.57,136.741,5
roxy_music-love_is_the_drug,0.838,0.757,2,-5.399,1,0.0927,0.059,0.0119,0.0271,0.602,124.65,4
roy_orbison-running_scared,0.572,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.381,128.255,3
rubn_gonzlez-cumbanchero,0.491,0.591,2,-9.693,1,0.0389,0.624,0.326,0.259,0.544,130.232,4
rufus_wainwright-cigarettes_and_chocolate_milk,0.46,0.378,4,-8.95,1,0.0271,0.795,0.0,0.0905,0.166,97.891,4
sade-smooth_operator,0.734,0.581,9,-6.619,0,0.032,0.24,0.000585,0.0298,0.962,119.337,4
santana-love_of_my_life,0.397,0.773,7,-5.931,0,0.0456,0.322,0.553,0.27,0.844,93.148,4
sarah_mclachlan-possession,0.476,0.658,6,-6.737,0,0.0281,0.2,0.00155,0.0635,0.357,97.527,4
saros-prelude,0.372,0.0597,0,-23.124,0,0.0403,0.958,0.791,0.0984,0.046,133.092,4
scott_hill-silk_road,0.392,0.177,3,-14.928,1,0.0415,0.784,0.521,0.111,0.261,112.162,4
screaming_trees-nearly_lost_you,0.166,0.971,7,-5.231,1,0.119,3.84e-05,6.15e-05,0.21,0.434,202.234,4
sebadoh-soul_and_fire,0.431,0.618,8,-9.404,1,0.0265,0.0258,0.000743,0.0837,0.325,99.342,4
seismic_anamoly-wreckinball,0.568,0.941,7,-4.097,1,0.0376,0.0016,0.857,0.111,0.589,99.005,4
sex_pistols-pretty_vacant,0.258,0.932,2,-5.194,1,0.0702,0.0467,8.09e-06,0.142,0.334,145.582,4
shakira-the_one,0.368,0.542,8,-6.677,1,0.0441,0.138,7.89e-06,0.105,0.14,144.071,4
shane_jackman-set_fire_to_the_city,0.635,0.508,5,-8.38,1,0.0291,0.266,1.26e-05,0.0993,0.437,133.899,4
sheryl_crow-i_shall_believe,0.548,0.159,4,-14.452,1,0.0505,0.913,2.81e-05,0.104,0.122,135.259,3
shins-new_slang,0.669,0.389,0,-11.547,1,0.0306,0.605,0.16,0.0905,0.649,130.015,4
shira_kammen-music_of_waters,0.23,0.187,2,-18.085,1,0.0454,0.573,0.0332,0.117,0.165,149.351,3
shiva_in_exile-hollow_earth,0.287,0.352,0,-14.419,1,0.0307,0.229,0.87,0.0953,0.0753,64.89,3
shuggie_otis-sweet_thang,0.432,0.518,7,-13.403,1,0.0375,0.0965,0.788,0.136,0.339,142.735,4
simon_and_garfunkel-the_only_living_boy_in_new_york,0.411,0.381,11,-12.361,1,0.0286,0.13,0.257,0.132,0.524,76.963,4
sinad_oconnor-no_mans_woman,0.551,0.67,9,-3.897,1,0.0471,0.146,0.000668,0.126,0.833,180.006,4
sir_mix-a-lot-baby_got_back,0.905,0.828,1,-6.472,1,0.305,0.166,0.0,0.328,0.945,104.013,4
skitzo-last_depression,0.276,0.962,7,-6.783,1,0.105,8.01e-05,0.524,0.0691,0.133,83.685,4
sly_and_the_family_stone-just_like_a_baby,0.84,0.398,10,-13.419,1,0.0333,0.00891,0.361,0.0921,0.466,97.979,1
small_faces-lazy_sunday,0.577,0.644,2,-8.056,1,0.055,0.101,1.18e-05,0.695,0.313,134.084,4
smashing_pumpkins-rocket,0.195,0.665,0,-9.097,1,0.0345,2.8e-06,0.928,0.0723,0.358,89.005,4
smithereens-behind_the_wall_of_sleep,0.42,0.846,10,-11.774,0,0.0482,0.00749,0.000101,0.161,0.542,137.599,4
smiths-how_soon_is_now,0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,4
smokey_robinson-cruisin,0.498,0.63,6,-5.808,0,0.0276,0.416,0.0,0.238,0.822,169.115,4
smokey_robinson_and_the_miracles-ooo_baby_baby,0.185,0.344,7,-9.378,1,0.0295,0.81,0.0,0.166,0.424,178.635,3
snoop_doggy_dogg-gin_and_juice,0.549,0.845,7,-4.279,1,0.2,0.0287,0.000492,0.67,0.351,94.491,4
somadrone-coda,0.287,0.631,9,-4.716,1,0.0294,0.0369,0.409,0.304,0.26,77.778,4
sonic_youth-teen_age_riot,0.286,0.907,7,-9.67,1,0.0374,0.000277,0.202,0.0837,0.746,156.395,4
sonny_rollins-strode_rode,0.447,0.535,5,-8.205,0,0.0347,0.653,0.0146,0.171,0.838,129.539,4
soul_ii_soul-keep_on_movin,0.673,0.386,6,-16.149,0,0.0642,0.0264,0.000521,0.0414,0.673,93.139,4
soulprint-crawlspace,0.452,0.579,2,-10.486,1,0.0351,0.000209,0.0102,0.059,0.702,91.122,4
soundgarden-black_hole_sun,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4
specials-gangsters,0.701,0.664,4,-8.248,0,0.0362,0.0092,0.116,0.452,0.814,130.419,4
spencer_davis_group-gimme_some_lovin,0.598,0.564,0,-6.454,1,0.032,0.216,0.000204,0.277,0.43,147.619,4
spice_girls-stop,0.722,0.845,2,-4.446,0,0.0308,0.287,0.0,0.0561,0.965,130.13,4
spinecar-stay,0.498,0.868,7,-10.894,1,0.0421,0.00195,0.0443,0.702,0.424,111.375,1
spiritualized-stop_your_crying,0.348,0.471,0,-7.145,1,0.0294,0.41,0.00526,0.0821,0.224,145.798,4
squarepusher-a_journey_to_reedham_(7am_mix),0.467,0.947,2,-9.041,1,0.0382,0.00074,0.683,0.335,0.391,94.52,4
squeeze-pulling_mussels_from_the_shell,0.593,0.702,0,-12.668,1,0.0409,0.002,8.38e-05,0.19,0.901,142.006,4
stan_getz-corcovado_quiet_nights_of_quiet_stars,0.572,0.152,9,-15.658,0,0.0408,0.961,0.000432,0.136,0.339,127.497,4
standells-dirty_water,0.62,0.781,9,-5.938,1,0.0379,0.181,0.0,0.187,0.864,144.707,4
starship-nothings_gonna_stop_us_now,0.643,0.801,6,-4.921,1,0.0228,0.0298,0.0,0.0719,0.534,95.988,4
steely_dan-rikki_dont_lose_that_number,0.656,0.462,11,-14.072,0,0.0373,0.518,0.000137,0.091,0.642,116.049,4
steppenwolf-born_to_be_wild,0.439,0.734,2,-12.168,1,0.097,0.262,0.333,0.244,0.54,145.703,4
stereolab-cybeles_reverie,0.321,0.788,2,-7.772,0,0.0289,0.00976,0.395,0.29,0.657,126.355,4
stevie_ray_vaughan-pride_and_joy,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,4
stevie_wonder-for_once_in_my_life,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121,4
sting-big_lie_small_world,0.687,0.521,11,-12.275,0,0.0451,0.0609,0.0187,0.114,0.366,160.086,4
stone_roses-i_wanna_be_adored,0.492,0.862,4,-9.158,0,0.0273,0.0121,0.213,0.228,0.591,112.598,4
stooges-dirt,0.407,0.665,5,-8.077,1,0.0365,0.00801,0.196,0.115,0.581,141.79,4
stranglers-golden_brown,0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3
strawbs-new_world,0.18,0.529,4,-10.943,0,0.0422,0.0211,0.0162,0.313,0.368,177.341,3
strojovna_07-130,0.808,0.843,0,-10.701,1,0.0726,0.0399,0.93,0.0888,0.411,130.023,4
style_council-headstart_for_happiness,0.488,0.904,9,-4.985,1,0.0366,0.171,0.0,0.0726,0.561,80.945,4
sundays-heres_where_the_story_ends,0.62,0.593,7,-10.985,1,0.0281,0.294,0.0,0.0749,0.833,109.044,4
superchunk-slack_motherfucker,0.277,0.839,4,-9.534,1,0.042,0.000101,0.659,0.138,0.556,152.373,4
sweet-fox_on_the_run,0.511,0.644,4,-12.191,1,0.0352,0.173,6.17e-05,0.0928,0.828,128.067,4
syd_barrett-effervescing_elephant,0.707,0.215,7,-19.143,1,0.452,0.65,5.57e-06,0.249,0.852,122.233,3
sylvester-you_make_me_feel_mighty_real,0.642,0.806,10,-12.973,1,0.032,0.0455,0.314,0.0498,0.962,131.577,4
syreeta-what_love_has_joined_together,0.421,0.634,2,-6.97,1,0.0461,0.498,0.0,0.156,0.456,89.528,4
t._rex-children_of_the_revolution,0.538,0.652,2,-11.285,1,0.052,0.0465,0.0,0.0734,0.785,130.398,4
talking_heads-and_she_was,0.763,0.629,9,-9.947,1,0.0322,0.013,0.0585,0.0756,0.973,126.477,4
tears_for_fears-everybody_wants_to_rule_the_world,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
teenage_fanclub-the_concept,0.424,0.702,7,-10.008,1,0.033,0.00509,0.17,0.144,0.499,111.566,4
television-venus,0.55,0.631,0,-11.493,1,0.0385,0.000898,0.18,0.0503,0.908,114.553,4
temptations-since_i_lost_my_baby,0.52,0.679,3,-5.888,1,0.0259,0.13,1.74e-06,0.0556,0.92,100.974,4
thelonious_monk-epistrophy,0.499,0.875,5,-6.487,0,0.0732,0.0303,0.887,0.953,0.713,98.693,4
they_might_be_giants-i_should_be_allowed_to_think,0.595,0.661,1,-8.237,0,0.0298,0.0319,3.38e-06,0.321,0.794,133.239,4
thin_lizzy-dont_believe_a_word,0.461,0.652,8,-11.994,0,0.0465,0.306,0.00329,0.0958,0.92,140.322,4
third_eye_blind-semi-charmed_life,0.64,0.864,7,-6.576,1,0.0315,0.00832,0.0,0.123,0.7,102.026,4
throwing_muses-hate_my_way,0.303,0.937,2,-6.404,1,0.0391,0.0118,0.0248,0.442,0.648,115.651,3
thursday_group-like_white_on_rice,0.424,0.455,8,-12.836,0,0.0802,0.0184,0.0408,0.167,0.755,145.759,5
tilopa-kyo_rei,0.159,0.0247,6,-23.552,1,0.0406,0.988,0.642,0.109,0.0333,72.786,4
tim_buckley-morning_glory,0.358,0.285,8,-13.262,1,0.0325,0.884,0.000477,0.0452,0.38,83.858,3
tim_hardin-dont_make_promises,0.654,0.398,9,-13.607,1,0.0329,0.848,0.00226,0.124,0.784,76.198,4
tim_rayborn-yedi_tekrar,0.469,0.613,1,-14.188,0,0.105,0.0738,0.841,0.0725,0.708,170.482,3
todd_rundgren-bang_the_drum_all_day,0.639,0.752,2,-12.454,1,0.0451,0.541,0.0,0.0453,0.966,143.086,4
tom_paul-little_part_of_me,0.699,0.789,2,-5.962,1,0.0295,0.111,0.0,0.115,0.805,129.923,4
tom_petty-i_wont_back_down,0.765,0.476,7,-13.487,1,0.0329,0.0504,2.76e-06,0.165,0.965,114.02,4
tom_petty_and_the_heartbreakers-dont_come_around_here_no_more,0.502,0.54,10,-15.93,1,0.0318,0.00105,0.00849,0.243,0.922,160.531,4
tom_waits-time,0.368,0.116,2,-22.515,1,0.0417,0.746,0.000257,0.139,0.295,133.191,3
tommy_james_and_the_shondells-i_think_were_alone_now,0.783,0.42,11,-11.05,0,0.103,0.0722,0.0316,0.0692,0.716,131.75,4
tori_amos-professional_widow,0.529,0.57,9,-7.866,0,0.0581,0.354,0.0,0.192,0.527,138.145,4
touchinggrace-wild_spring_apples,0.345,0.384,1,-14.595,1,0.0317,0.0809,0.881,0.0978,0.11,99.071,4
traffic-pearly_queen,0.544,0.527,2,-10.418,0,0.0402,0.0295,0.008,0.104,0.572,103.77,4
tricky-christiansands,0.662,0.806,11,-9.954,1,0.129,0.0159,0.00637,0.139,0.51,89.951,4
troggs-wild_thing,0.453,0.658,9,-13.472,1,0.0539,0.741,0.0288,0.135,0.761,203.871,4
turtles-elenore,0.63,0.625,4,-8.407,1,0.0375,0.6,1.52e-05,0.24,0.887,122.504,4
u2-hold_me_thrill_me_kiss_me_kill_me,0.368,0.852,10,-6.978,0,0.0433,7.47e-05,0.258,0.218,0.347,171.692,4
ultravox-dancing_with_tears_in_my_eyes,0.592,0.916,9,-6.9,1,0.0482,0.0856,9.27e-05,0.161,0.886,144.262,4
uncle_tupelo-the_long_cut,0.445,0.802,7,-8.705,1,0.0331,0.000813,0.057,0.118,0.563,130.387,4
urge_overkill-sister_havana,0.591,0.803,5,-8.874,1,0.0325,0.000983,0.0537,0.0659,0.729,136.769,4
utopia_banished-by_mourning,0.237,0.982,4,-6.984,0,0.225,2.51e-06,0.657,0.0632,0.181,139.009,3
van_halen-aint_talkin_bout_love,0.518,0.938,8,-5.964,0,0.0416,0.021,0.000305,0.288,0.71,139.138,4
van_morrison-and_it_stoned_me,0.593,0.468,7,-11.165,1,0.0285,0.35,3.52e-05,0.0919,0.597,75.798,4
vapors-turning_japanese,0.503,0.803,0,-9.701,1,0.0485,0.01,0.0648,0.292,0.941,179.007,4
velvet_underground-new_age,0.355,0.34,2,-11.488,1,0.0263,0.284,5.59e-05,0.104,0.19,80.273,4
violent_femmes-blister_in_the_sun,0.726,0.537,0,-8.896,1,0.113,0.316,0.0,0.0707,0.887,96.91,4
war-all_day_music,0.488,0.48,4,-11.91,0,0.0313,0.156,0.00144,0.685,0.558,107.261,4
weezer-buddy_holly,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,4
wes_montgomery-bumpin,0.759,0.247,4,-19.827,0,0.0521,0.875,0.432,0.0978,0.443,107.601,4
white_stripes-hotel_yorba,0.385,0.791,7,-2.647,1,0.0949,0.454,0.0,0.0755,0.764,194.638,4
whitney_houston-how_will_i_know,0.832,0.544,6,-12.697,1,0.0442,0.201,0.000139,0.632,0.928,119.49,4
who-bargain,0.452,0.888,3,-7.994,1,0.054,0.0169,0.00341,0.17,0.336,133.883,4
wicked_boy-pressure,0.649,0.79,9,-7.514,1,0.0613,0.000902,0.872,0.171,0.174,130.038,4
wilco-kingpin,0.624,0.535,0,-7.879,1,0.0349,0.149,0.256,0.184,0.549,140.135,4
williamson-whats_on_the_ceiling_beats_whats_on_tv,0.917,0.433,11,-14.653,1,0.0638,0.198,0.864,0.112,0.346,114.411,4
xtc-love_at_first_sight,0.764,0.815,7,-5.26,1,0.0604,0.0121,0.00167,0.138,0.679,116.121,4
yakshi-chandra,0.647,0.184,10,-14.672,1,0.0512,0.973,0.934,0.0906,0.0566,111.442,4
yeah_yeah_yeahs-maps,0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,4
yes-leave_it,0.663,0.898,5,-4.828,1,0.0425,0.528,0.000216,0.27,0.628,100.033,4
yo_la_tengo-tom_courtenay,0.249,0.611,9,-7.431,1,0.0397,0.57,0.675,0.0902,0.3,124.864,4
young_mc-bust_a_move,0.946,0.772,4,-7.537,0,0.121,0.0512,2.26e-06,0.0612,0.743,116.972,4
young_rascals-baby_lets_wait,0.26,0.327,7,-15.096,0,0.0315,0.409,0.0,0.405,0.498,84.049,4
zapp-dance_floor,0.868,0.802,0,-7.831,1,0.053,0.151,0.0032,0.0667,0.905,110.536,4
zombies-beechwood_park,0.372,0.486,3,-9.526,1,0.0417,0.882,0.00166,0.17,0.385,145.0,4
